k,token_coverage,type_coverage
50,0.181131,0.000216
100,0.241488,0.000432
200,0.306751,0.000864
500,0.403781,0.002150
1000,0.485963,0.004283
1995,0.570956,0.008540
2000,0.571262,0.008562
3981,0.655202,0.017020
5000,0.682751,0.021363
7943,0.737242,0.033984
8897,0.750010,0.038072
14227,0.800004,0.060839
15849,0.810965,0.067799
23780,0.850003,0.101705
31623,0.874960,0.135184
43188,0.900001,0.184672
49392,0.910001,0.211177
56850,0.920000,0.242989
63096,0.927161,0.269620
65645,0.930001,0.280431
77264,0.940001,0.330019
91996,0.950000,0.392727
109497,0.960000,0.467106
125893,0.968849,0.536594
129965,0.970000,0.553726
165311,0.980000,0.702484
200579,0.990000,0.851242
235877,1.000000,1.000000
