k,token_coverage,type_coverage
50,0.149613,0.001843
100,0.197218,0.003649
200,0.260535,0.007261
500,0.365668,0.018097
1000,0.459712,0.036232
1995,0.562190,0.072132
2000,0.562582,0.072316
3981,0.670017,0.144079
5000,0.706945,0.181048
6480,0.750024,0.235082
7943,0.779665,0.288047
8995,0.800000,0.326306
12012,0.850005,0.435590
15849,0.886855,0.574251
17218,0.900000,0.623715
18260,0.910001,0.661347
19301,0.920002,0.698979
20333,0.930003,0.736611
21367,0.940004,0.774243
22401,0.950005,0.811876
23437,0.960006,0.849508
24474,0.970007,0.887140
25503,0.980008,0.924772
26536,0.990009,0.962405
27569,1.000000,1.000000
