k,token_coverage,type_coverage
50,0.401606,0.015462
100,0.475771,0.031240
200,0.562235,0.062796
500,0.697661,0.157147
672,0.750252,0.211108
868,0.800087,0.272957
1000,0.828584,0.314610
1107,0.850091,0.348375
1431,0.900094,0.450300
1505,0.910041,0.473651
1597,0.920089,0.502682
1696,0.930069,0.533922
1796,0.940050,0.565163
1938,0.950064,0.609656
1995,0.953895,0.627643
2000,0.954231,0.629221
2089,0.960011,0.656358
2289,0.970025,0.718523
2587,0.980005,0.812244
2897,0.990019,0.906280
3203,1.000000,1.000000
3204,1.000000,1.000000
