k,token_coverage,type_coverage
50,0.160172,0.000705
100,0.200668,0.001509
200,0.255387,0.003132
500,0.346677,0.007838
1000,0.426585,0.015659
1995,0.512135,0.031105
2000,0.512462,0.031187
3981,0.601165,0.061407
5000,0.631023,0.077082
7943,0.692414,0.122124
12334,0.750009,0.188598
15849,0.782653,0.241232
18182,0.800007,0.276059
26564,0.850004,0.397937
31623,0.867402,0.467772
41008,0.900001,0.598619
43837,0.910002,0.638759
46728,0.920002,0.678899
49682,0.930002,0.719038
52583,0.940002,0.759178
55461,0.950003,0.799318
58380,0.960003,0.839458
61261,0.970003,0.879597
63096,0.976282,0.904799
64144,0.980004,0.919737
67010,0.990004,0.959877
69875,1.000000,1.000000
