k_frac,token_coverage,type_coverage
0.000716,0.160172,0.000705
0.001431,0.200668,0.001509
0.002862,0.255387,0.003132
0.007156,0.346677,0.007838
0.014311,0.426585,0.015659
0.028551,0.512135,0.031105
0.028623,0.512462,0.031187
0.056973,0.601165,0.061407
0.071556,0.631023,0.077082
0.113674,0.692414,0.122124
0.176515,0.750009,0.188598
0.226819,0.782653,0.241232
0.260208,0.800007,0.276059
0.380165,0.850004,0.397937
0.452565,0.867402,0.467772
0.586877,0.900001,0.598619
0.627363,0.910002,0.638759
0.668737,0.920002,0.678899
0.711013,0.930002,0.719038
0.752530,0.940002,0.759178
0.793717,0.950003,0.799318
0.835492,0.960003,0.839458
0.876723,0.970003,0.879597
0.902984,0.976282,0.904799
0.917982,0.980004,0.919737
0.958998,0.990004,0.959877
1.000000,1.000000,1.000000
