k,token_coverage,type_coverage
50,0.161754,0.002855
100,0.214368,0.006442
200,0.272042,0.013763
500,0.367655,0.035432
1000,0.454994,0.071230
1995,0.559456,0.142533
2000,0.559934,0.142899
3981,0.685562,0.284041
5000,0.720224,0.356515
5955,0.750016,0.425037
7546,0.800019,0.540044
7943,0.812592,0.568960
9155,0.850022,0.655051
10787,0.900025,0.770059
11103,0.910020,0.793045
11419,0.920014,0.816032
11753,0.930008,0.839019
12086,0.940003,0.862006
12426,0.950029,0.885066
12763,0.960023,0.908053
13105,0.970017,0.931040
13448,0.980011,0.954026
13794,0.990006,0.977013
14142,1.000000,1.000000
