k_frac,token_coverage,type_coverage
0.003536,0.161754,0.002855
0.007071,0.214368,0.006442
0.014142,0.272042,0.013763
0.035356,0.367655,0.035432
0.070711,0.454994,0.071230
0.141069,0.559456,0.142533
0.141423,0.559934,0.142899
0.281502,0.685562,0.284041
0.353557,0.720224,0.356515
0.421086,0.750016,0.425037
0.533588,0.800019,0.540044
0.561660,0.812592,0.568960
0.647362,0.850022,0.655051
0.762763,0.900025,0.770059
0.785108,0.910020,0.793045
0.807453,0.920014,0.816032
0.831071,0.930008,0.839019
0.854617,0.940003,0.862006
0.878659,0.950029,0.885066
0.902489,0.960023,0.908053
0.926672,0.970017,0.931040
0.950926,0.980011,0.954026
0.975392,0.990006,0.977013
1.000000,1.000000,1.000000
