k,token_coverage,type_coverage
50,0.220304,0.003324
100,0.284901,0.006649
200,0.364360,0.013298
500,0.485656,0.033112
1000,0.582982,0.065824
1995,0.685826,0.131649
2000,0.686185,0.131981
3044,0.750003,0.200665
3981,0.791378,0.262301
4197,0.800035,0.276330
5000,0.827533,0.328989
5737,0.850026,0.377593
7659,0.900007,0.503657
7943,0.905730,0.522207
8155,0.910018,0.536104
8646,0.920008,0.568484
9143,0.930018,0.600931
9632,0.940008,0.633311
10277,0.950009,0.675931
11262,0.960009,0.740758
12252,0.970009,0.805585
13242,0.980010,0.870412
14224,0.990010,0.935239
15207,1.000000,1.000000
