k_frac,token_coverage,type_coverage
0.003288,0.220304,0.003324
0.006576,0.284901,0.006649
0.013152,0.364360,0.013298
0.032880,0.485656,0.033112
0.065759,0.582982,0.065824
0.131190,0.685826,0.131649
0.131518,0.686185,0.131981
0.200171,0.750003,0.200665
0.261787,0.791378,0.262301
0.275991,0.800035,0.276330
0.328796,0.827533,0.328989
0.377260,0.850026,0.377593
0.503650,0.900007,0.503657
0.522325,0.905730,0.522207
0.536266,0.910018,0.536104
0.568554,0.920008,0.568484
0.601236,0.930018,0.600931
0.633393,0.940008,0.633311
0.675807,0.950009,0.675931
0.740580,0.960009,0.740758
0.805682,0.970009,0.805585
0.870783,0.980010,0.870412
0.935359,0.990010,0.935239
1.000000,1.000000,1.000000
