k_frac,token_coverage,type_coverage
0.000212,0.181131,0.000216
0.000424,0.241488,0.000432
0.000848,0.306751,0.000864
0.002120,0.403781,0.002150
0.004239,0.485963,0.004283
0.008458,0.570956,0.008540
0.008479,0.571262,0.008562
0.016877,0.655202,0.017020
0.021197,0.682751,0.021363
0.033674,0.737242,0.033984
0.037719,0.750010,0.038072
0.060315,0.800004,0.060839
0.067192,0.810965,0.067799
0.100815,0.850003,0.101705
0.134066,0.874960,0.135184
0.183095,0.900001,0.184672
0.209397,0.910001,0.211177
0.241015,0.920000,0.242989
0.267495,0.927161,0.269620
0.278302,0.930001,0.280431
0.327561,0.940001,0.330019
0.390017,0.950000,0.392727
0.464212,0.960000,0.467106
0.533723,0.968849,0.536594
0.550986,0.970000,0.553726
0.700836,0.980000,0.702484
0.850354,0.990000,0.851242
1.000000,1.000000,1.000000
