k,token_coverage,type_coverage
50,0.259204,0.000212
100,0.315901,0.000424
200,0.382315,0.000849
500,0.478669,0.002113
1000,0.557322,0.004222
1995,0.636181,0.008397
2000,0.636466,0.008418
3981,0.711037,0.016718
5000,0.734512,0.021016
5840,0.750004,0.024547
7943,0.779420,0.033356
9976,0.800008,0.041838
15849,0.838753,0.066346
18318,0.850003,0.076632
31623,0.888341,0.131835
38007,0.900001,0.158168
45057,0.910000,0.187200
54202,0.920000,0.224319
63096,0.928243,0.260437
65670,0.930001,0.270824
80297,0.940000,0.329919
100214,0.950000,0.409041
125893,0.958506,0.509575
130401,0.960000,0.527231
160238,0.970000,0.645424
189977,0.980000,0.763617
219532,0.990000,0.881811
249650,1.000000,1.000000
